"U.S. Department of Energy, The Energy Information Administration (EIA)",,,,,
"Monthly Generation Data by State, Producer Sector and Energy Source; Months Through December 2015",,,,,
Sources: EIA-923 Report,,,,,
,,,,,
YEAR,MONTH,STATE,TYPE OF PRODUCER,ENERGY SOURCE,"GENERATION
(Megawatthours)"
2015,1,CA,"Electric Generators, Electric Utilities",Nuclear,1563700
2015,1,CA,"Electric Generators, Electric Utilities",Other,66.71
2015,1,CA,"Electric Generators, Electric Utilities",Petroleum,2653.47
2015,1,CA,"Electric Generators, Electric Utilities",Solar Thermal and Photovoltaic,23612.87
2015,1,CA,"Electric Generators, Electric Utilities",Other Biomass,20834.36
2015,1,CA,"Electric Generators, Electric Utilities",Wind,7375
2015,1,CO,Total Electric Power Industry,Total,4640440.65
2015,1,CO,Total Electric Power Industry,Coal,2884028.51
2015,1,CO,Total Electric Power Industry,Pumped Storage,-29183
2015,1,CO,Total Electric Power Industry,Hydroelectric Conventional,162484.71
2015,1,CO,Total Electric Power Industry,Natural Gas,830225.17
2015,1,CO,Total Electric Power Industry,Other,3343.69
2015,1,CO,Total Electric Power Industry,Petroleum,982.45
2015,1,CO,Total Electric Power Industry,Solar Thermal and Photovoltaic,13671.16
2015,1,CO,Total Electric Power Industry,Other Biomass,7695.79
2015,1,CO,Total Electric Power Industry,Wind,762883.02
2015,1,CO,Total Electric Power Industry,Wood and Wood Derived Fuels,4309.15
2015,1,CO,"Combined Heat and Power, Industrial Power",Total,4518.75
2015,1,CO,"Combined Heat and Power, Industrial Power",Coal,0
2015,1,CO,"Combined Heat and Power, Industrial Power",Natural Gas,1457.19
2015,1,CO,"Combined Heat and Power, Industrial Power",Other,2976.95
2015,1,CO,"Combined Heat and Power, Industrial Power",Petroleum,2.33
2015,1,CO,"Combined Heat and Power, Industrial Power",Wind,82.29
2015,1,CO,"Combined Heat and Power, Commercial Power",Total,1420.19
2015,1,CO,"Combined Heat and Power, Commercial Power",Hydroelectric Conventional,582.74
2015,1,CO,"Combined Heat and Power, Commercial Power",Natural Gas,0
2015,1,CO,"Combined Heat and Power, Commercial Power",Petroleum,0
2015,1,CO,"Combined Heat and Power, Commercial Power",Solar Thermal and Photovoltaic,837.45
2015,1,CO,"Combined Heat and Power, Commercial Power",Wind,0
2015,1,CO,"Combined Heat and Power, Electric Power",Total,16429.09
2015,1,CO,"Combined Heat and Power, Electric Power",Coal,5289.48
2015,1,CO,"Combined Heat and Power, Electric Power",Natural Gas,7327.9
2015,1,CO,"Combined Heat and Power, Electric Power",Petroleum,0
2015,1,CO,"Combined Heat and Power, Electric Power",Other Biomass,3811.71
2015,1,CO,"Electric Generators, Independent Power Producers",Total,975241.16
2015,1,CO,"Electric Generators, Independent Power Producers",Hydroelectric Conventional,21113.29
2015,1,CO,"Electric Generators, Independent Power Producers",Natural Gas,183296.03
2015,1,CO,"Electric Generators, Independent Power Producers",Other,366.75
2015,1,CO,"Electric Generators, Independent Power Producers",Petroleum,114.7
2015,1,CO,"Electric Generators, Independent Power Producers",Solar Thermal and Photovoltaic,12833.72
2015,1,CO,"Electric Generators, Independent Power Producers",Other Biomass,3884.08
2015,1,CO,"Electric Generators, Independent Power Producers",Wind,749323.46
2015,1,CO,"Electric Generators, Independent Power Producers",Wood and Wood Derived Fuels,4309.15
2015,1,CO,"Electric Generators, Electric Utilities",Total,3642831.45
2015,1,CO,"Electric Generators, Electric Utilities",Coal,2878739.03
2015,1,CO,"Electric Generators, Electric Utilities",Pumped Storage,-29183
2015,1,CO,"Electric Generators, Electric Utilities",Hydroelectric Conventional,140788.68
2015,1,CO,"Electric Generators, Electric Utilities",Natural Gas,638144.05
2015,1,CO,"Electric Generators, Electric Utilities",Petroleum,865.43
2015,1,CO,"Electric Generators, Electric Utilities",Wind,13477.27
2015,1,CO,"Electric Generators, Electric Utilities",Wood and Wood Derived Fuels,0
2015,1,CT,Total Electric Power Industry,Total,3511903.34
2015,1,CT,Total Electric Power Industry,Coal,205359.57
2015,1,CT,Total Electric Power Industry,Pumped Storage,1982
2015,1,CT,Total Electric Power Industry,Hydroelectric Conventional,40224.28
2015,1,CT,Total Electric Power Industry,Natural Gas,1561492.2
2015,1,CT,Total Electric Power Industry,Nuclear,1569302
2015,1,CT,Total Electric Power Industry,Other,50787.23
2015,1,CT,Total Electric Power Industry,Petroleum,13102
2015,1,CT,Total Electric Power Industry,Solar Thermal and Photovoltaic,1091.37
2015,1,CT,Total Electric Power Industry,Other Biomass,54660.07
2015,1,CT,Total Electric Power Industry,Wood and Wood Derived Fuels,13902.62
2015,1,CT,"Combined Heat and Power, Industrial Power",Total,36489.37
2015,1,CT,"Combined Heat and Power, Industrial Power",Natural Gas,36220.25
2015,1,CT,"Combined Heat and Power, Industrial Power",Other,0
2015,1,CT,"Combined Heat and Power, Industrial Power",Petroleum,269.12
2015,1,CT,"Combined Heat and Power, Commercial Power",Total,36155.62
2015,1,CT,"Combined Heat and Power, Commercial Power",Natural Gas,31323.98
2015,1,CT,"Combined Heat and Power, Commercial Power",Other,1859.52
2015,1,CT,"Combined Heat and Power, Commercial Power",Petroleum,659.85
2015,1,CT,"Combined Heat and Power, Commercial Power",Other Biomass,2086.73
2015,1,CT,"Combined Heat and Power, Commercial Power",Wood and Wood Derived Fuels,225.54
2015,1,CT,"Combined Heat and Power, Electric Power",Total,13219.99
2015,1,CT,"Combined Heat and Power, Electric Power",Natural Gas,12021.22
2015,1,CT,"Combined Heat and Power, Electric Power",Petroleum,1198.77
2015,1,CT,"Electric Generators, Independent Power Producers",Total,3422156.05
2015,1,CT,"Electric Generators, Independent Power Producers",Coal,205359.57
2015,1,CT,"Electric Generators, Independent Power Producers",Pumped Storage,1982
2015,1,CT,"Electric Generators, Independent Power Producers",Hydroelectric Conventional,37034.65
2015,1,CT,"Electric Generators, Independent Power Producers",Natural Gas,1481926.75
2015,1,CT,"Electric Generators, Independent Power Producers",Nuclear,1569302
2015,1,CT,"Electric Generators, Independent Power Producers",Other,48927.72
2015,1,CT,"Electric Generators, Independent Power Producers",Petroleum,10281.56
2015,1,CT,"Electric Generators, Independent Power Producers",Solar Thermal and Photovoltaic,1091.37
2015,1,CT,"Electric Generators, Independent Power Producers",Other Biomass,52573.35
2015,1,CT,"Electric Generators, Independent Power Producers",Wood and Wood Derived Fuels,13677.08
2015,1,CT,"Electric Generators, Electric Utilities",Total,3882.32
2015,1,CT,"Electric Generators, Electric Utilities",Hydroelectric Conventional,3189.63
2015,1,CT,"Electric Generators, Electric Utilities",Natural Gas,0
2015,1,CT,"Electric Generators, Electric Utilities",Petroleum,692.69
2015,1,CT,"Electric Generators, Electric Utilities",Other Biomass,0
2015,1,DC,Total Electric Power Industry,Total,5363.46
2015,1,DC,Total Electric Power Industry,Natural Gas,5363.46
2015,1,DC,Total Electric Power Industry,Petroleum,0
2015,1,DC,"Combined Heat and Power, Commercial Power",Total,5363.46
2015,1,DC,"Combined Heat and Power, Commercial Power",Natural Gas,5363.46
2015,1,DC,"Combined Heat and Power, Commercial Power",Petroleum,0
2015,1,DE,Total Electric Power Industry,Total,663229.74
2015,1,DE,Total Electric Power Industry,Coal,118006.21
2015,1,DE,Total Electric Power Industry,Natural Gas,489411.84
2015,1,DE,Total Electric Power Industry,Other Gases,12268.07
2015,1,DE,Total Electric Power Industry,Petroleum,33705.6
2015,1,DE,Total Electric Power Industry,Solar Thermal and Photovoltaic,2917.75
2015,1,DE,Total Electric Power Industry,Other Biomass,6460.27
2015,1,DE,Total Electric Power Industry,Wind,460
2015,1,DE,"Combined Heat and Power, Industrial Power",Total,96137.23
2015,1,DE,"Combined Heat and Power, Industrial Power",Natural Gas,82604.93
2015,1,DE,"Combined Heat and Power, Industrial Power",Other Gases,12268.07
2015,1,DE,"Combined Heat and Power, Industrial Power",Petroleum,0
2015,1,DE,"Combined Heat and Power, Industrial Power",Other Biomass,1264.23
2015,1,DE,"Combined Heat and Power, Commercial Power",Total,570.82
2015,1,DE,"Combined Heat and Power, Commercial Power",Solar Thermal and Photovoltaic,110.82
2015,1,DE,"Combined Heat and Power, Commercial Power",Wind,460
2015,1,DE,"Combined Heat and Power, Electric Power",Total,16906.75
2015,1,DE,"Combined Heat and Power, Electric Power",Coal,0
2015,1,DE,"Combined Heat and Power, Electric Power",Natural Gas,16570.99
2015,1,DE,"Combined Heat and Power, Electric Power",Petroleum,335.76
2015,1,DE,"Electric Generators, Independent Power Producers",Total,546198.64
2015,1,DE,"Electric Generators, Independent Power Producers",Coal,118006.21
2015,1,DE,"Electric Generators, Independent Power Producers",Natural Gas,387524.11
2015,1,DE,"Electric Generators, Independent Power Producers",Petroleum,33042.26
2015,1,DE,"Electric Generators, Independent Power Producers",Solar Thermal and Photovoltaic,2430.02
2015,1,DE,"Electric Generators, Independent Power Producers",Other Biomass,5196.05
2015,1,DE,"Electric Generators, Electric Utilities",Total,3416.31
2015,1,DE,"Electric Generators, Electric Utilities",Natural Gas,2711.81
2015,1,DE,"Electric Generators, Electric Utilities",Petroleum,327.58
2015,1,DE,"Electric Generators, Electric Utilities",Solar Thermal and Photovoltaic,376.91
2015,1,FL,Total Electric Power Industry,Total,18044470.81
2015,1,FL,Total Electric Power Industry,Coal,3101193.92
2015,1,FL,Total Electric Power Industry,Hydroelectric Conventional,19595.7
2015,1,FL,Total Electric Power Industry,Natural Gas,11277622.34
2015,1,FL,Total Electric Power Industry,Nuclear,2733822
2015,1,FL,Total Electric Power Industry,Other Gases,165.04
2015,1,FL,Total Electric Power Industry,Other,246888.44
2015,1,FL,Total Electric Power Industry,Petroleum,220526.15
2015,1,FL,Total Electric Power Industry,Solar Thermal and Photovoltaic,12621.82
2015,1,FL,Total Electric Power Industry,Other Biomass,214938.93
2015,1,FL,Total Electric Power Industry,Wood and Wood Derived Fuels,217096.48
2015,1,FL,"Combined Heat and Power, Industrial Power",Total,447955.51
2015,1,FL,"Combined Heat and Power, Industrial Power",Coal,20700.56
2015,1,FL,"Combined Heat and Power, Industrial Power",Natural Gas,118758.63
2015,1,FL,"Combined Heat and Power, Industrial Power",Other Gases,165.04
2015,1,FL,"Combined Heat and Power, Industrial Power",Other,128825.14
2015,1,FL,"Combined Heat and Power, Industrial Power",Petroleum,2941.45
2015,1,FL,"Combined Heat and Power, Industrial Power",Other Biomass,29809.08
2015,1,FL,"Combined Heat and Power, Industrial Power",Wood and Wood Derived Fuels,146755.61
2015,1,FL,"Combined Heat and Power, Commercial Power",Total,4875.59
2015,1,FL,"Combined Heat and Power, Commercial Power",Natural Gas,2066.88
2015,1,FL,"Combined Heat and Power, Commercial Power",Petroleum,0
2015,1,FL,"Combined Heat and Power, Commercial Power",Solar Thermal and Photovoltaic,100.13
2015,1,FL,"Combined Heat and Power, Commercial Power",Other Biomass,2708.58
2015,1,FL,"Combined Heat and Power, Electric Power",Total,218804.1
2015,1,FL,"Combined Heat and Power, Electric Power",Coal,0
2015,1,FL,"Combined Heat and Power, Electric Power",Natural Gas,200504.96
2015,1,FL,"Combined Heat and Power, Electric Power",Petroleum,1.42
2015,1,FL,"Combined Heat and Power, Electric Power",Other Biomass,18297.71
2015,1,FL,"Combined Heat and Power, Electric Power",Wood and Wood Derived Fuels,0
2015,1,FL,"Electric Generators, Independent Power Producers",Total,560801.23
2015,1,FL,"Electric Generators, Independent Power Producers",Coal,0
2015,1,FL,"Electric Generators, Independent Power Producers",Natural Gas,214141.2
2015,1,FL,"Electric Generators, Independent Power Producers",Other,118063.3
2015,1,FL,"Electric Generators, Independent Power Producers",Petroleum,237.71
2015,1,FL,"Electric Generators, Independent Power Producers",Solar Thermal and Photovoltaic,3298.68
2015,1,FL,"Electric Generators, Independent Power Producers",Other Biomass,154719.47
2015,1,FL,"Electric Generators, Independent Power Producers",Wood and Wood Derived Fuels,70340.87
2015,1,FL,"Electric Generators, Electric Utilities",Total,16812034.38
2015,1,FL,"Electric Generators, Electric Utilities",Coal,3080493.36
2015,1,FL,"Electric Generators, Electric Utilities",Hydroelectric Conventional,19595.7
2015,1,FL,"Electric Generators, Electric Utilities",Natural Gas,10742150.67
2015,1,FL,"Electric Generators, Electric Utilities",Nuclear,2733822
2015,1,FL,"Electric Generators, Electric Utilities",Petroleum,217345.57
2015,1,FL,"Electric Generators, Electric Utilities",Solar Thermal and Photovoltaic,9223
2015,1,FL,"Electric Generators, Electric Utilities",Other Biomass,9404.08
2015,1,GA,Total Electric Power Industry,Total,10924842.71
2015,1,GA,Total Electric Power Industry,Coal,3010206.2
2015,1,GA,Total Electric Power Industry,Pumped Storage,-83546
