YEAR	STATE	UNSUSTAINABLE	SUSTAINABLE	TOTAL GENERATION	
2012	WY	43976534.56	5612071.65	49588606.21	
1999	VT	43269	5660324	5703593	
1997	VT	11299	5669239	5680538	
2014	WY	44010895.66	5685287.7	49696183.36	
2005	VT	12419	5704336	5716755	
2000	SD	3981829	5715508	9697337	
1998	CT	13938797	5752695	19691492	
1998	SD	3331390	5757600	9088990	
2007	VT	9700	5813882	5823582	
1991	KS	26761521	5869222	32630743	
2003	IA	36234177	5882015	42116192	
2000	IA	35602734	5939276	41542010	
2003	VT	24636	6003326	6027962	
1995	SD	2801922	6009871	8811793	
2000	VT	151670	6151344	6303014	
2011	WY	41475829.27	6162641.56	47638470.83	
1994	MA	31738464	6200600	37939064	
2008	OK	70111620	6217288	76328908	
2010	ND	28516613	6222929	34739542	
2010	IN	118957199	6223540	125180739	
2009	OK	68699869	6366940	75066809	
2013	NV	30040076.74	6403796.85	36443873.59	
2014	NV	29524248.62	6476288.38	36000537	
1993	MA	30572354	6506854	37079208	
2002	IA	35990641	6537743	42528384	
1991	MA	34475280	6544511	41019791	
2012	VT	5958.52	6563711.59	6569670.11	
1995	MA	31084768	6569713	37654481	
2011	IN	115549196.2	6582217.75	122131414	
2010	SD	3439086	6610550	10049636	
2010	VT	8292	6611698	6619990	
1999	SD	3879724	6677303	10557027	
2001	MT	17553586	6678899	24232485	
2013	SD	3358578.5	6750308	10108886.5	
2011	VT	11435.2	6764783.61	6776218.81	
2008	VT	6921	6813295	6820216	
2010	OK	65434908	6815825	72250733	
1992	MA	33270410	6817245	40087655	
2012	IN	107877861.9	6817867.42	114695729.3	
2013	VT	8132.59	6876777.41	6884910	
2001	ME	12682883	6881938	19564821	
2014	IN	108483629.1	6911762.64	115395391.8	
1997	MA	37965043	7000285	44965328	
2014	VT	7937.58	7023456.39	7031393.97	
2004	IA	36205522	7042667	43248189	
1999	MA	33516196	7059196	40575392	
2007	MA	40000994	7074981	47075975	
2006	VT	9246	7075098	7084344	
2013	IN	103276487.4	7126989.76	110403477.1	
1995	ME	2580042	7183009	9763051	
2002	ME	15337386	7197647	22535033	
2001	MA	31259909	7218525	38478434	
1997	ME	3100876	7232530	10333406	
2003	ME	11734785	7236850	18971635	
1998	ME	3736894	7266423	11003317	
2011	CO	44163208.25	7269346.04	51432554.29	
2005	IA	36882772	7273388	44156160	
