"U.S. Department of Energy, The Energy Information Administration (EIA)",,,,,
"Monthly Generation Data by State, Producer Sector and Energy Source; Months Through July 2016",,,,,
Sources: EIA-923 Report,,,,,
,,,,,
YEAR,MONTH,STATE,TYPE OF PRODUCER,ENERGY SOURCE,"GENERATION
(Megawatthours)"
2016,1,CA,"Combined Heat and Power, Commercial Power",Total,225155
2016,1,CA,"Combined Heat and Power, Commercial Power",Pumped Storage,0
2016,1,CA,"Combined Heat and Power, Commercial Power",Hydroelectric Conventional,676
2016,1,CA,"Combined Heat and Power, Commercial Power",Natural Gas,139560
2016,1,CA,"Combined Heat and Power, Commercial Power",Other,0
2016,1,CA,"Combined Heat and Power, Commercial Power",Petroleum,81
2016,1,CA,"Combined Heat and Power, Commercial Power",Solar Thermal and Photovoltaic,6727
2016,1,CA,"Combined Heat and Power, Commercial Power",Other Biomass,77775
2016,1,CA,"Combined Heat and Power, Commercial Power",Wind,337
2016,1,CA,"Combined Heat and Power, Electric Power",Total,1420534
2016,1,CA,"Combined Heat and Power, Electric Power",Coal,0
2016,1,CA,"Combined Heat and Power, Electric Power",Geothermal,22698
2016,1,CA,"Combined Heat and Power, Electric Power",Natural Gas,1316171
2016,1,CA,"Combined Heat and Power, Electric Power",Other Gases,0
2016,1,CA,"Combined Heat and Power, Electric Power",Other,2701
2016,1,CA,"Combined Heat and Power, Electric Power",Petroleum,0
2016,1,CA,"Combined Heat and Power, Electric Power",Other Biomass,9131
2016,1,CA,"Combined Heat and Power, Electric Power",Wood and Wood Derived Fuels,69833
2016,1,CA,"Electric Generators, Independent Power Producers",Total,6193423
2016,1,CA,"Electric Generators, Independent Power Producers",Geothermal,923242
2016,1,CA,"Electric Generators, Independent Power Producers",Hydroelectric Conventional,48594
2016,1,CA,"Electric Generators, Independent Power Producers",Natural Gas,3505929
2016,1,CA,"Electric Generators, Independent Power Producers",Other,9747
2016,1,CA,"Electric Generators, Independent Power Producers",Petroleum,639
2016,1,CA,"Electric Generators, Independent Power Producers",Solar Thermal and Photovoltaic,725719
2016,1,CA,"Electric Generators, Independent Power Producers",Other Biomass,132666
2016,1,CA,"Electric Generators, Independent Power Producers",Wind,686404
2016,1,CA,"Electric Generators, Independent Power Producers",Wood and Wood Derived Fuels,160484
2016,1,CA,"Electric Generators, Electric Utilities",Total,5743511
2016,1,CA,"Electric Generators, Electric Utilities",Geothermal,72615
2016,1,CA,"Electric Generators, Electric Utilities",Pumped Storage,-98440
2016,1,CA,"Electric Generators, Electric Utilities",Hydroelectric Conventional,1042932
2016,1,CA,"Electric Generators, Electric Utilities",Natural Gas,2965550
2016,1,CA,"Electric Generators, Electric Utilities",Nuclear,1690198
2016,1,CA,"Electric Generators, Electric Utilities",Other,102
2016,1,CA,"Electric Generators, Electric Utilities",Petroleum,2721
2016,1,CA,"Electric Generators, Electric Utilities",Solar Thermal and Photovoltaic,27707
2016,1,CA,"Electric Generators, Electric Utilities",Other Biomass,19731
2016,1,CA,"Electric Generators, Electric Utilities",Wind,20394
2016,1,CO,Total Electric Power Industry,Total,4725953
2016,1,CO,Total Electric Power Industry,Coal,2750477
2016,1,CO,Total Electric Power Industry,Pumped Storage,-26170
2016,1,CO,Total Electric Power Industry,Hydroelectric Conventional,169357
2016,1,CO,Total Electric Power Industry,Natural Gas,1014646
2016,1,CO,Total Electric Power Industry,Other,3485
2016,1,CO,Total Electric Power Industry,Petroleum,478
2016,1,CO,Total Electric Power Industry,Solar Thermal and Photovoltaic,21007
2016,1,CO,Total Electric Power Industry,Other Biomass,8078
2016,1,CO,Total Electric Power Industry,Wind,780456
2016,1,CO,Total Electric Power Industry,Wood and Wood Derived Fuels,4139
2016,1,CO,"Combined Heat and Power, Industrial Power",Total,4695
2016,1,CO,"Combined Heat and Power, Industrial Power",Coal,152
2016,1,CO,"Combined Heat and Power, Industrial Power",Natural Gas,1297
2016,1,CO,"Combined Heat and Power, Industrial Power",Other,3049
2016,1,CO,"Combined Heat and Power, Industrial Power",Petroleum,2
2016,1,CO,"Combined Heat and Power, Industrial Power",Wind,195
2016,1,CO,"Combined Heat and Power, Commercial Power",Total,1365
2016,1,CO,"Combined Heat and Power, Commercial Power",Hydroelectric Conventional,514
2016,1,CO,"Combined Heat and Power, Commercial Power",Natural Gas,0
2016,1,CO,"Combined Heat and Power, Commercial Power",Petroleum,0
2016,1,CO,"Combined Heat and Power, Commercial Power",Solar Thermal and Photovoltaic,851
2016,1,CO,"Combined Heat and Power, Commercial Power",Wind,0
2016,1,CO,"Combined Heat and Power, Electric Power",Total,17178
2016,1,CO,"Combined Heat and Power, Electric Power",Coal,6360
2016,1,CO,"Combined Heat and Power, Electric Power",Natural Gas,6662
2016,1,CO,"Combined Heat and Power, Electric Power",Petroleum,0
2016,1,CO,"Combined Heat and Power, Electric Power",Other Biomass,4156
2016,1,CO,"Electric Generators, Independent Power Producers",Total,977220
2016,1,CO,"Electric Generators, Independent Power Producers",Hydroelectric Conventional,17182
2016,1,CO,"Electric Generators, Independent Power Producers",Natural Gas,159625
2016,1,CO,"Electric Generators, Independent Power Producers",Other,436
2016,1,CO,"Electric Generators, Independent Power Producers",Petroleum,0
2016,1,CO,"Electric Generators, Independent Power Producers",Solar Thermal and Photovoltaic,20156
2016,1,CO,"Electric Generators, Independent Power Producers",Other Biomass,3922
2016,1,CO,"Electric Generators, Independent Power Producers",Wind,771761
2016,1,CO,"Electric Generators, Independent Power Producers",Wood and Wood Derived Fuels,4139
2016,1,CO,"Electric Generators, Electric Utilities",Total,3725493
2016,1,CO,"Electric Generators, Electric Utilities",Coal,2743965
2016,1,CO,"Electric Generators, Electric Utilities",Pumped Storage,-26170
2016,1,CO,"Electric Generators, Electric Utilities",Hydroelectric Conventional,151661
2016,1,CO,"Electric Generators, Electric Utilities",Natural Gas,847062
2016,1,CO,"Electric Generators, Electric Utilities",Petroleum,475
2016,1,CO,"Electric Generators, Electric Utilities",Wind,8500
2016,1,CO,"Electric Generators, Electric Utilities",Wood and Wood Derived Fuels,0
2016,1,CT,Total Electric Power Industry,Total,3198729
2016,1,CT,Total Electric Power Industry,Coal,43863
2016,1,CT,Total Electric Power Industry,Pumped Storage,3445
2016,1,CT,Total Electric Power Industry,Hydroelectric Conventional,57223
2016,1,CT,Total Electric Power Industry,Natural Gas,1560512
2016,1,CT,Total Electric Power Industry,Nuclear,1395804
2016,1,CT,Total Electric Power Industry,Other,51883
2016,1,CT,Total Electric Power Industry,Petroleum,6643
2016,1,CT,Total Electric Power Industry,Solar Thermal and Photovoltaic,1070
2016,1,CT,Total Electric Power Industry,Other Biomass,55847
2016,1,CT,Total Electric Power Industry,Wood and Wood Derived Fuels,22440
2016,1,CT,"Combined Heat and Power, Industrial Power",Total,41055
2016,1,CT,"Combined Heat and Power, Industrial Power",Natural Gas,40872
2016,1,CT,"Combined Heat and Power, Industrial Power",Other,0
2016,1,CT,"Combined Heat and Power, Industrial Power",Petroleum,183
2016,1,CT,"Combined Heat and Power, Commercial Power",Total,35779
2016,1,CT,"Combined Heat and Power, Commercial Power",Natural Gas,35396
2016,1,CT,"Combined Heat and Power, Commercial Power",Petroleum,382
2016,1,CT,"Combined Heat and Power, Electric Power",Total,13112
2016,1,CT,"Combined Heat and Power, Electric Power",Natural Gas,12335
2016,1,CT,"Combined Heat and Power, Electric Power",Petroleum,777
2016,1,CT,"Electric Generators, Independent Power Producers",Total,3103548
2016,1,CT,"Electric Generators, Independent Power Producers",Coal,43863
2016,1,CT,"Electric Generators, Independent Power Producers",Pumped Storage,3445
2016,1,CT,"Electric Generators, Independent Power Producers",Hydroelectric Conventional,52685
2016,1,CT,"Electric Generators, Independent Power Producers",Natural Gas,1471908
2016,1,CT,"Electric Generators, Independent Power Producers",Nuclear,1395804
2016,1,CT,"Electric Generators, Independent Power Producers",Other,51883
2016,1,CT,"Electric Generators, Independent Power Producers",Petroleum,4604
2016,1,CT,"Electric Generators, Independent Power Producers",Solar Thermal and Photovoltaic,1070
